magma,0,0,0,0,0,0,0,0,0,0
lunge,0,0,0,0,0,0,0,0,1,0
break,0,0,0,0,0,0,0,0,1,0
secondary,0,0,0,0,0,0,0,0,0,0
gouge,0,0,0,0,1,0,0,0,0,0
firefly,0,0,0,0,0,0,0,0,0,0
defeated,1,0,0,0,1,0,0,0,0,0
adversity,1,0,1,0,1,1,0,0,0,0
finch,0,0,0,0,0,0,0,0,0,0
pond,0,0,0,0,0,0,0,0,0,0
ration,0,0,0,0,0,0,0,0,0,0
integral,0,0,0,0,0,0,0,0,0,0
steer,0,0,0,0,0,0,0,0,0,0
dilapidated,1,0,0,0,1,0,1,0,0,0
parietal,0,1,0,0,0,0,0,1,0,0
boisterous,0,1,0,1,1,1,0,0,0,1
bearings,0,0,0,0,0,0,0,0,0,0
military,0,0,1,0,0,0,0,0,0,0
firmly,0,0,0,0,0,0,0,0,0,0
gait,0,0,0,0,0,0,0,0,0,0
stopper,0,0,0,0,0,0,0,0,0,0
occasional,0,0,0,0,0,0,0,0,1,0
calibrate,0,0,0,0,0,0,0,0,0,0
diatribe,0,0,0,0,1,1,1,0,0,0
dealer,0,0,0,0,0,0,0,0,0,0
consistent,0,0,0,0,0,0,0,0,0,0
kit,0,0,0,0,0,0,0,0,0,0
corrosive,0,0,1,0,1,0,0,0,0,0
majestic,0,1,0,1,0,0,0,1,1,1
skewer,0,0,0,0,0,0,0,0,0,0
bier,1,0,1,0,1,0,0,0,0,0
spencer,0,0,0,0,0,0,0,0,0,0
grow,0,1,0,1,0,0,0,1,0,1
carnivorous,0,0,1,0,1,0,0,0,0,0
learned,0,0,0,0,0,0,0,0,0,0
cooperation,0,1,0,0,0,0,0,1,0,0
croft,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
fluke,0,0,0,0,0,0,0,0,1,0
rumor,1,0,0,0,1,0,0,0,0,0
dishonesty,0,0,0,0,1,0,1,0,0,0
senior,0,0,0,0,0,0,0,0,0,0
wimpy,1,0,1,0,1,1,1,0,0,0
clump,0,0,0,0,1,0,0,0,0,0
erode,0,0,0,0,0,0,0,0,0,0
eradication,0,0,1,0,1,1,1,0,0,0
frank,0,1,0,0,0,0,0,1,0,0
half,0,0,0,0,0,0,0,0,0,0
leeches,0,0,1,0,1,0,1,0,0,0
negligence,0,0,0,0,1,0,0,0,0,0
detest,0,0,0,0,1,1,1,0,0,0
alcoholism,1,0,1,0,1,1,1,0,0,0
inserted,0,0,0,0,0,0,0,0,0,0
reborn,0,0,0,0,0,0,0,0,0,0
sweeping,0,0,0,0,0,0,0,0,0,0
roads,0,0,0,0,0,0,0,0,0,0
sheathing,0,0,0,0,0,0,0,0,0,0
centralization,0,0,0,0,0,0,0,0,0,0
prince,0,1,0,0,0,0,0,0,0,0
stir,0,0,0,0,0,0,0,0,0,0
asleep,0,0,0,0,0,0,0,0,0,0
tremendous,0,0,0,0,0,0,0,0,0,0
bridge,0,0,0,0,0,0,0,0,0,0
sandal,0,0,0,0,0,0,0,0,0,0
wreak,0,0,0,0,1,1,0,0,0,0
welfare,0,0,0,0,0,0,0,0,0,0
ferment,0,0,0,0,1,0,0,0,0,1
baroque,0,0,0,0,0,0,0,0,0,0
attainable,0,1,0,0,0,0,0,0,0,1
substantiate,0,0,0,0,0,0,0,1,0,0
poker,0,0,0,0,0,0,0,0,0,0
chuck,0,0,0,0,0,0,0,0,0,0
parasol,0,0,0,0,0,0,0,0,0,0
yolk,0,0,0,0,0,0,0,0,0,0
witch,0,0,1,0,1,1,1,0,0,0
fondling,0,0,0,0,0,0,0,0,0,0
companionship,0,0,0,0,0,0,0,0,0,0
accompany,0,0,0,0,0,0,0,0,0,0
quantify,0,0,0,0,0,0,0,0,0,0
renewal,0,1,0,0,0,0,0,0,0,0
salon,0,0,0,0,0,0,0,0,0,0
western,0,0,0,0,0,0,0,0,0,0
practical,0,0,0,0,0,0,0,0,0,0
bigot,0,0,1,0,1,1,1,0,0,0
malicious,1,0,1,0,1,1,1,0,0,0
remoteness,0,0,0,0,0,0,0,0,0,0
shepherd,0,1,0,0,0,0,0,1,0,0
aspect,0,0,0,0,0,0,0,0,0,0
dual,0,0,0,0,0,0,0,0,0,0
beehive,0,0,0,0,0,0,0,0,0,0
mite,0,0,0,0,1,0,1,0,0,0
securities,0,0,0,0,0,0,0,1,0,0
erosion,0,0,0,0,1,0,0,0,0,0
skyscraper,0,0,0,0,0,0,0,0,0,0
repeated,0,0,0,0,0,0,0,0,0,0
confirmed,0,1,0,0,0,0,0,1,0,0
commence,0,0,0,0,0,0,0,0,0,0
contravene,0,0,0,0,1,0,0,0,0,0
bake,0,0,0,0,0,0,0,0,0,0
