1109814843295649793,Sun Mar 24 13:50:52 +0000 2019,LahoriVoter,"aafaque_ehsens_ideamines_sites,ideamines_shssf,Introduction_to_Locke,politics",46.#aafaque_ehsens_ideamines_sites Please explore and share #ideamines_shssf #Introduction_to_Locke #politics… https://t.co/yfif3lIdQH,46. Please explore share   …,,0,0,0,0,0,1,2,0,1,1
1109814843287035905,Sun Mar 24 13:50:52 +0000 2019,SchwaigerSusan,,"@DemChick777 @TomJChicago Yes, I hope they do it Monday. I think Barr’s letter on Friday pretty much says he will n… https://t.co/DOS8BZGceI","Yes, I hope Monday. I think Barr’s letter Friday pretty much say n…",,0,0,0,0,0,2,3,1,2,2
1109814847485546496,Sun Mar 24 13:50:53 +0000 2019,mss_umi,,I really hate Dancing With Stranger at first. Now im addicted to it :loudly_crying_face::red_heart::red_heart::red_heart:,I really hate Dancing With Stranger first. Now im addicted,😭❤❤❤,1,1,1,1,1,0,0,0,0,0
1109814847485681665,Sun Mar 24 13:50:53 +0000 2019,faeiremyg,,I know you fucking lying eye-,I know fucking lying eye-,,1,0,0,1,1,0,0,0,0,0
1109814851688235008,Sun Mar 24 13:50:54 +0000 2019,jnnhlmjp,,nindot kay akong kilay hahahaha special thanks to dom,nindot kay akong kilay hahahaha special thanks dom,,0,0,0,0,0,1,0,0,0,1
1109814851675848709,Sun Mar 24 13:50:54 +0000 2019,_KingJane,,Chale some people are their own enemies,Chale people enemy,,1,0,1,1,1,0,0,0,0,0
1109814851700809729,Sun Mar 24 13:50:54 +0000 2019,praveennkaranam,,@themohanbabu Malli start chesara dramalu..,Malli start chesara dramalu..,,0,0,0,0,0,0,1,0,0,0
1109814855890952193,Sun Mar 24 13:50:55 +0000 2019,shadyboyband,,me: all the white men I stan popping into my brain: https://t.co/vFjq0prmPW,me: white men I stan popping brain:,,0,0,0,0,0,1,1,0,1,1
1109814860072865793,Sun Mar 24 13:50:56 +0000 2019,moodring89,,"Each time I hit 1k, I'm gonna reward myself with a match of Smite ; o ; that's incentive haha","Each time I hit 1k, I'm gonna reward match Smite ; ; that's incentive haha",,1,0,0,0,1,1,2,1,1,1
1109814860064399360,Sun Mar 24 13:50:56 +0000 2019,IBleedMaizeBlue,,"@jisapi24 @BowZerTheFierce @HillaryClinton @realDonaldTrump And again, there’s no proof of that stuff, it’s not ill… https://t.co/gmohIJB7Li","And again, there’s proof stuff, it’s ill…",,0,0,0,0,0,0,0,0,1,0
1109814860072640522,Sun Mar 24 13:50:56 +0000 2019,aljhayaquino,,Good job brodie hahahah,Good job brodie hahahah,,0,0,0,0,0,1,0,0,0,0
1109814864271151109,Sun Mar 24 13:50:57 +0000 2019,Arazzino,,An opportunity to pursue a past interest may resurface out of ... More for Scorpio https://t.co/VivgEMI4xm,An opportunity pursue past interest may resurface ... More Scorpio,,0,0,0,0,0,2,1,0,0,0
1109814864250167296,Sun Mar 24 13:50:57 +0000 2019,missssnunez,,"You may catch yourself sighing an awful lot today, which is pe... More for Cancer https://t.co/eWEF4p6YVf","You may catch sighing awful lot today, pe... More Cancer",,1,1,1,1,1,0,0,1,0,0
1109814864287940609,Sun Mar 24 13:50:57 +0000 2019,GodsAlmightyRod,,A chance meeting could bring you face to face with someone you... More for Virgo https://t.co/s0OjEaMwct,A chance meeting could bring face face someone you... More Virgo,,0,0,0,0,0,0,0,1,0,0
1109814864275488768,Sun Mar 24 13:50:57 +0000 2019,blum_twt,코코데일리,we were looking for coco everywhere just to find him hiding here ㅋㅋㅋ he is so adorable look at him :loudly_crying_face::rabbit_face::yellow_heart:   #코코데일리 https://t.co/U8bYJZuDC4,looking coco everywhere find hiding ㅋㅋㅋ adorable look ,😭🐰💛,0,0,1,0,0,1,0,0,0,1
1109814864250171392,Sun Mar 24 13:50:57 +0000 2019,satyan_srivatsa,,"@Raghavendranamo ; I will show you at least 3 authentic international websites, which say that India is 5th in GDP… https://t.co/vsbtCSvshC","; I show least 3 authentic international websites, say India 5th GDP…",,0,0,0,0,0,1,0,0,2,1
1109814868461314050,Sun Mar 24 13:50:58 +0000 2019,sahoo_upper,,@JHSMlCDROP @BTS_twt Isn't that the ring he got as a gift in bon voyage? The green one?,Isn't ring got gift bon voyage? The green one?,,0,0,0,0,0,2,2,1,1,2
1109814868478226432,Sun Mar 24 13:50:58 +0000 2019,GhklRoky,,@GamZe27263412 Very good boobs,Very good boob,,0,0,0,0,0,1,1,1,1,1
